citation,label
"After publication of this article [ |pone.0201274.ref001| ], concerns were raised about the scientific validity of the meta-analysis and whether it provided a rigorous and accurate assessment of published clinical studies on the efficacy of acupuncture or drug-based interventions for improving chronic constipation.",CC
"Although there is a paucity of supporting evidence, a number of sources suggest that intake of long-chain n-3 PUFAs is beneficial in people with COPD.25,26 This is based largely on the data and recommendations of Matsuyama et al.,27 the only randomized controlled trial of n-3 PUFA supplementation in COPD, which has since been retracted because of falsified data.28",CC
"de Gouveia and Inglesi-Lotz (2021) observed a rapid increase of climate change-related records from both an absolute number and a relative share perspective. They also tried to give some possible explanations for the rise of research publications. However, more convincing reasons are needed to explain the abnormal growth of research publications for some specific years in various bibliometric analyses including the study conducted by de Gouveia and Inglesi-Lotz.",NC
"A common approach for sentiment detection is to use a labelled lexicon to score sentences (Hatzivas-siloglou and McKeown, 1997; Turney, 2002; Yu and Hatzivassiloglou, 2003). However, such approaches have been found to be highly topic dependent (Engstrom, 2004; Gamon and Aue, 2005; Blitzer et al., 2007), which makes the creation of a general sentiment classifier a difficult task.",CC
"Experiments, by using 4 algorithms and through visualization techniques, revealed that clustering is a worthless effort for paraphrase corpora construction, contrary to the literature claims (Barzilay & Lee, 2003).",NC
"A maximum entropy approach has been applied to part-of-speech tagging before (Ratnaparkhi 1996), but the approach's ability to incorporate nonlocal and non-HMM-tagger-type evidence has not been fully explored.",CC
"For citation extraction, the most relevant work is by Qazvinian and Radev (2010) who proposed a framework of Markov Random Fields to extract only the non-explicit citations for a given paper. They model each sentence as a node in a graph and experiment with various window boundaries to create edges between neighbouring nodes weighted by lexical similarity between nodes. However, their dataset consists of only 569 citations from 10 papers and their annotation scheme deals with neither acronyms nor sentiment.",CC
"Hanks and Church (1990) proposed using pointwise mutual information to identify collocations in lexicography; however, the method may result in unacceptable collocations for low-count pairs.",CC
A potential caveat with Lins (1998) distributional similarity measure is its reliance on syntactic information for obtaining dependency relations.,CC
"Hayes et al. [1990] reported a .90 ?breakeven? result (see Section 7) on a subset of the Reuters test collection, a figure that outperforms even the best classifiers built in the late ?90s by state-of-the-art ML techniques. However, no other classifier has been tested on the same dataset as Construe, and it is not clear whether this was a randomly chosen or a favourable subset of the entire Reuters collection. As argued in [Yang 1999], the results above do not allow us to state that these effectiveness results may be obtained in general.",CC
"However, it is not clear that AER as defined by Och and Ney ( 2003 ) is always the appropriate way to evaluate the quality of the model, since the Viterbi word alignment that AER is based on is seldom used in applications of Model 1.5. Moreover, it is notable that while the versions of Model 1 having the lowest AER have dramatically higher precision than the standard version, they also have quite a bit lower recall .",CC
"However, Koskenniemi himself understood that his initial implementation had significant limitations in handling non-concatenative morphotactic processes.",CC
"However, one previous publication presented data suggesting that hepatocyte infection results in inflammasome activation, which our data do not support |ppat.1004082-Burdette1|.",NC
"However, these trials were limited either in size ( n = 47) [ |CR12| ] or in generalizability (hemiplegic post-stroke patients) [ |CR6| ] and both used fairly high doses of B-vitamins.",CC
"However, we and other authors (Table S2) disagree with the low percentage of anxious-type OCD in patients with GTS as observed by Shapiro and Shapiro [30].",CC
"In conflict with previous reports [|pone.0132665.ref018|,|pone.0132665.ref021|], the S ma3 mutant was as infectious as the wt Cabb-S virus on turnip plants (Fig 6B).",NC
"In Klein and Manning ( 2002 ), we reported results using unlabeled bracketing statistics which gave no credit for brackets which spanned the entire sentence ( raising the scores ) but macro-averaged over sentences ( lowering the scores ) .",CC
"Interestingly, though, the superiority of presence information in comparison to frequency information in our setting contradicts previous observations made in topic-classification work (McCallum and Nigam, 1998).",NC
"It should be noted that the prior meta-analysis included two trials which have been subsequently retracted [ |pone.0178713.ref045|, |pone.0178713.ref046| ] and positive data from these studies may have contributed to this difference in findings.",NC
